cron	job	cron_job_policy	PERMISSIVE	{public}	ALL	(username = CURRENT_USER)	
cron	job_run_details	cron_job_run_details_policy	PERMISSIVE	{public}	ALL	(username = CURRENT_USER)	
public	affiliate_clicks	affiliate_clicks_select_own	PERMISSIVE	{authenticated}	SELECT	(( SELECT auth.uid() AS uid) = affiliate_user_id)	
public	affiliate_clicks	affiliate_clicks_service_all	PERMISSIVE	{service_role}	ALL	true	true
public	affiliate_commissions	affiliate_commissions_select_own	PERMISSIVE	{authenticated}	SELECT	(( SELECT auth.uid() AS uid) = affiliate_user_id)	
public	affiliate_commissions	affiliate_commissions_service_all	PERMISSIVE	{service_role}	ALL	true	true
public	affiliate_profiles	affiliate_profiles_select_own	PERMISSIVE	{public}	SELECT	(user_id = ( SELECT auth.uid() AS uid))	
public	affiliate_profiles	affiliate_profiles_service_all	PERMISSIVE	{service_role}	ALL	true	true
public	affiliate_referrals	affiliate_referrals_select_own	PERMISSIVE	{authenticated}	SELECT	(( SELECT auth.uid() AS uid) = affiliate_user_id)	
public	affiliate_referrals	affiliate_referrals_service_all	PERMISSIVE	{service_role}	ALL	true	true
public	affiliates	affiliates_select_own	PERMISSIVE	{authenticated}	SELECT	(( SELECT auth.uid() AS uid) = user_id)	
public	affiliates	affiliates_service_all	PERMISSIVE	{service_role}	ALL	true	true
public	agis	agis_insert_authenticated	PERMISSIVE	{authenticated}	INSERT		true
public	agis	agis_select_authenticated	PERMISSIVE	{authenticated}	SELECT	true	
public	agis	agis_update_authenticated	PERMISSIVE	{authenticated}	UPDATE	true	true
public	balances	balances_select_owner	PERMISSIVE	{authenticated}	SELECT	(( SELECT auth.uid() AS uid) = user_id)	
public	balances	balances_service_all	PERMISSIVE	{service_role}	ALL	true	true
public	balances	balances_update_owner	PERMISSIVE	{authenticated}	UPDATE	(( SELECT auth.uid() AS uid) = user_id)	(( SELECT auth.uid() AS uid) = user_id)
public	bets	User Bets	PERMISSIVE	{authenticated}	SELECT	(user_id = ( SELECT auth.uid() AS uid))	
public	bets	User Insert Bets	PERMISSIVE	{authenticated}	INSERT		(user_id = ( SELECT auth.uid() AS uid))
public	cashback_events	cashback_events_select_own	PERMISSIVE	{public}	SELECT	(user_id = ( SELECT auth.uid() AS uid))	
public	cashback_events	cashback_events_service_all	PERMISSIVE	{service_role}	ALL	true	true
public	cashback_tiers	cashback_tiers_read_all	PERMISSIVE	{public}	SELECT	true	
public	cashback_tiers	cashback_tiers_service_all	PERMISSIVE	{service_role}	ALL	true	true
public	casino_settings	casino_settings_service_all	PERMISSIVE	{service_role}	ALL	true	true
public	commands	allow_all_commands	PERMISSIVE	{public}	ALL	true	
public	crash_bets	crash_bets_select_own	PERMISSIVE	{authenticated}	SELECT	(( SELECT auth.uid() AS uid) = user_id)	
public	crash_bets	crash_bets_service_all	PERMISSIVE	{service_role}	ALL	true	true
public	deposit_intents	deposit_intents_select_own	PERMISSIVE	{authenticated}	SELECT	(( SELECT auth.uid() AS uid) = user_id)	
public	deposit_intents	deposit_intents_service_all	PERMISSIVE	{service_role}	ALL	true	true
public	fraud_events	fraud_events_service_all	PERMISSIVE	{service_role}	ALL	true	true
public	free_round_entitlements	free_rounds_select_own	PERMISSIVE	{public}	SELECT	(user_id = ( SELECT auth.uid() AS uid))	
public	free_round_entitlements	free_rounds_service_all	PERMISSIVE	{service_role}	ALL	true	true
public	free_round_tiers	free_round_tiers_read_all	PERMISSIVE	{public}	SELECT	true	
public	free_round_tiers	free_round_tiers_service_all	PERMISSIVE	{service_role}	ALL	true	true
public	game_history	Public Game History	PERMISSIVE	{public}	SELECT	true	
public	hocker_agent_logs	Agents Full Access	PERMISSIVE	{service_role}	ALL	true	true
public	kyc_requests	kyc_requests_insert_own	PERMISSIVE	{authenticated}	INSERT		(( SELECT auth.uid() AS uid) = user_id)
public	kyc_requests	kyc_requests_select_own	PERMISSIVE	{authenticated}	SELECT	(( SELECT auth.uid() AS uid) = user_id)	
public	kyc_requests	kyc_requests_service_all	PERMISSIVE	{service_role}	ALL	true	true
public	kyc_requests	kyc_requests_update_own_pending	PERMISSIVE	{authenticated}	UPDATE	((( SELECT auth.uid() AS uid) = user_id) AND (status = 'pending'::text))	((( SELECT auth.uid() AS uid) = user_id) AND (status = 'pending'::text))
public	manual_deposit_requests	manual_deposit_insert_own	PERMISSIVE	{authenticated}	INSERT		(( SELECT auth.uid() AS uid) = user_id)
public	manual_deposit_requests	manual_deposit_select_own	PERMISSIVE	{authenticated}	SELECT	(( SELECT auth.uid() AS uid) = user_id)	
public	manual_deposit_requests	manual_deposit_service_all	PERMISSIVE	{service_role}	ALL	true	true
public	manual_deposit_requests	mdr_service_all	PERMISSIVE	{service_role}	ALL	true	true
