storage	can_insert_object
storage	delete_leaf_prefixes
storage	enforce_bucket_name_length
storage	extension
storage	filename
storage	foldername
storage	get_common_prefix
storage	get_level
storage	get_prefix
storage	get_prefixes
storage	get_size_by_bucket
storage	list_multipart_uploads_with_delimiter
storage	list_objects_with_delimiter
storage	operation
storage	protect_delete
storage	search
storage	search_by_timestamp
storage	search_legacy_v1
storage	search_v2
storage	update_updated_at_column
vault	_crypto_aead_det_decrypt
vault	_crypto_aead_det_encrypt
vault	_crypto_aead_det_noncegen
vault	create_secret
vault	update_secret
